,GBM4,GBM6,GBM8,GBM9,O2,GBM14,GBM16,GBM21,GBM24,GBM28,O3,O4,O9,GBM30,GBM32,GBM35,GBM36,GBM42,GBM45,GBM50,A5,O10,GBM51,GBM56,GBM57,GBM58
ANXA1,4.61815208470885,4.56312157574932,4.36171971652312,4.15481238185418,3.45989359755697,4.27853120810412,3.89997510343274,4.18119843883643,4.34142593753174,3.4934410413758,3.49199264342437,3.4077205371876,3.19463642668415,4.22441692445163,4.23794145818721,4.38400142668793,3.29759288702997,4.55719161624079,4.42906697504926,4.50037770737433,3.40525207917826,3.46898412400631,4.58728791107296,4.4472515031699,3.59508234264836,4.38814059548209
BC003660,3.76350765683004,3.81634465640921,3.88746712774648,2.84724064244448,3.55226353767109,3.91330760436554,3.71830932772182,3.26727829354111,3.71022952220492,3.32885360240793,2.76218247972136,2.75166317691667,3.34219501136741,3.54582449708318,3.50182360510973,3.68286237878025,3.23162350321716,3.49727860315283,3.95171355019238,3.83420630132379,2.46159755984397,3.17063276125072,3.71704465157544,3.44881387561026,3.28294640997262,3.50351599684394
RAB18,4.17189262357908,4.26034404885509,4.20991392646274,4.32698108714679,4.3477364028312,4.20170959465442,4.17964398278718,4.13172196539539,4.03790658609068,3.96261572906466,4.32690605107873,4.43005980980569,4.58830678521217,4.31095533902755,4.07799258546067,4.34668862086239,4.12418471177786,3.7337589157597,4.22718386403347,4.07474917097039,4.50446539809755,4.49674929543402,4.02913441295809,3.9922912714823,3.79910989852663,4.22985580677435
ZMYM2,3.03041916688161,2.70469176010324,2.29958138175623,3.0264544061554,3.04860841946803,2.66196499305697,2.55958946231744,2.80617929539823,3.08902680782346,2.32338205959612,3.19351528760437,3.2147233410929,3.21706603087439,2.88802046695575,2.91543730007039,2.71628554334306,2.9753835508858,2.44153175364247,2.7235591022599,2.74081333224499,3.08962679134056,2.92922983872378,2.76749203577054,2.82459308387959,2.2391793118688,2.72948957882549
MAPT,2.99458723767914,3.10577442790881,3.44657615241784,3.83845578177736,3.56363294325055,3.02798814231365,3.60306107973147,3.48320831847938,3.59948340277592,3.67146721125652,4.15270906974927,4.05323537606988,4.01995924990462,3.75705818030912,3.51928012240202,3.68454672640103,3.66833297799888,2.99128988570391,3.237194754944,3.57363802428601,4.09147392619211,3.93459378356815,3.08131453642024,3.26897020410749,3.69579887578602,3.52171941360234
FBXO30,3.9137204160569,3.8006922018417,3.8735900482285,3.70598714380332,3.60287970809653,3.83977566649582,3.96853347320943,3.8881160586945,3.80568303332542,3.90880863532371,3.46288922153467,3.75856030449875,3.77941335640574,3.76328135698348,3.80529739213414,3.76981354333896,3.80118238985729,3.78887970585544,3.86305494273668,3.74738601360201,3.76865445172015,3.74260739248415,3.89156404972978,3.71015486689524,3.69372606978413,3.93960066272346
SLC1A4,3.35829070835118,3.22065532044498,3.2682837406819,3.21908288580373,3.34811747227101,3.48593738460934,3.2150977301718,3.39125188528271,3.48630661996174,3.48726072460205,3.26123264560433,3.2590558136515,3.58789620204406,3.40934820642321,3.34241537671723,3.04281798816574,3.62695615648473,3.62044900914617,3.23861182355965,3.52579179896025,3.54041307156133,3.23456688541103,3.30273905161223,3.14630792041862,3.47666181775563,3.14004396112158
GTF2IRD2,3.74339992293844,3.92680818860733,3.87059917682888,3.61205935799052,3.7545649701505,4.17693421671582,3.79621884329506,3.81207134592018,3.68968579455348,3.57747054416386,3.77547172828707,3.4494037218866,3.47524074757411,3.63284747571876,3.61567750683283,3.82714360103285,3.477998511554,3.92652826843826,3.90823804421171,3.91469954493252,2.59590497167731,3.47835275857958,3.7873021726087,3.88837008096487,3.7376350635774,3.64754364890838
KIF3A,3.21212791811625,3.03455225792666,3.28890509172187,3.32801039818506,3.39020855705745,3.232095858224,3.20233680523156,3.33623912828032,3.53649417738339,3.44596814206435,3.8158187348104,3.859585816444,3.72681283726378,3.46712086025073,3.11316995397046,3.34060927398122,3.50848460386792,2.86929685901794,3.10894097892205,3.68254235081076,3.59734135503311,3.8165410917537,3.03503088476208,3.37303362519819,3.24107033851409,3.24249123804972
AI860012,3.63723498212675,3.38582229477306,3.64507990645683,3.85500514847415,3.40887584277453,3.44794292934058,3.53827505366748,3.53315575665438,3.47552707741841,3.09900692785013,3.2570703768663,3.285209959577,2.94549221956256,3.00585417614517,3.37108708168736,3.64322846344432,3.28542317455941,3.42319260813964,3.46054380107987,3.25200447912369,2.86457218650208,2.72141817196977,3.59866249683029,3.95938578011905,3.4684753840881,3.17745684792367
PPM1L,2.67827066039857,3.16484101389167,3.23062847779654,3.31677524684687,3.38621332524443,2.84678602219758,3.22166274489275,3.26950196997139,2.88726837448045,3.64925714615501,3.54424619262865,3.32554583305662,3.60595406289485,3.19189849283773,3.12200080828875,3.09213089490095,3.27541248614925,2.6497864459084,3.31670403970004,3.15978789348264,3.89571937823387,3.68245484085808,2.14665817167109,2.92193345898765,3.31459352889669,3.26077737756009
CHI3L1,4.689159894551,4.96492861663969,4.24983853697095,2.81651902703042,4.096637642348,4.33385930606245,4.22059519259524,4.31002849246773,4.53612582641493,3.54742048178556,3.22060044529467,2.71380208171924,2.58301503874755,4.05800401476794,3.84137805585849,4.96837987310557,3.06767219974978,5.07914411228193,4.80820923033945,4.65314144773297,2.519560249404,4.41004028114533,4.85659109026013,4.57159843945023,4.20759002023879,4.8523296724557
GLA,3.6656915672625,3.66219307062734,3.55437733143537,3.50852312033833,3.42365424646013,3.6596256863081,3.61710921579931,3.5089734825332,3.61756979554734,3.49905263193428,3.53711168924808,3.52536010702444,3.28768396195504,3.39756009545479,3.62974334745608,3.64185152486351,3.41257595194423,3.73346931634778,3.5018234683492,3.50174140426549,3.25510816593487,3.19291993062017,3.52440754733903,3.56354088576314,3.62149845446757,3.51425879095422
HPSE2,1.75389698550733,2.06221709882414,1.69750831786608,1.71270861354943,2.28851973673617,2.05849435212957,1.91006917756622,1.58489634413745,1.64345267648619,2.27854783377585,1.76299348178892,2.25275839785024,2.45382115760696,2.66427614932961,1.84573040850265,1.73797144690302,2.89721404030165,1.63304405366955,2.20749433667567,1.79166960031222,2.79927022941616,1.83427443054362,1.65024922465787,1.82254073247606,1.84914904737707,1.82585435851795
AF274957,4.13694523265451,4.17493635448463,4.00097463496581,4.11153530742455,4.20272313767649,4.19013179265048,3.929607675058,4.03941737141487,4.00391505392855,4.03350332863921,4.29591813187457,4.30605558074144,4.25485748325159,4.23858589932233,3.92466858061823,4.21651298793309,4.07772798416284,3.81897516390618,4.1933888529496,3.98670434623469,4.31429599039485,4.43623243080726,4.00842803782059,4.09424462851496,3.90417826716974,4.16007730984756
SRP19,3.78443697664183,3.73757800745939,3.76704241503112,3.83715500064572,3.50005841053183,3.85385876156883,3.82384081197517,3.82511161106442,3.79358848160067,3.88193696085378,3.84889487238568,3.63654636670884,3.64448250909256,3.69339890635403,3.71776949754899,3.81977372180535,3.78084110244146,3.76090423775998,3.723800097604,3.86517779250432,3.57543968579445,3.66610220670469,3.85545052323694,3.85293363096494,3.79780090360959,3.77526323769936
GPHN,2.98710024107338,3.12400051641226,3.18634286381361,3.16763274841903,3.3858115766528,3.20501235468382,3.3163706769102,2.85399372342466,3.16830681173428,2.99365486587426,3.59277946406252,3.58671734852136,3.63540914630955,3.46352644501715,3.08919872046501,3.14727027778859,3.34507403260698,2.27598128687147,3.27626874149751,3.2382722288325,3.53647435299953,3.54770654164141,2.93114398715262,3.11268139847352,2.64748859646699,3.069875576478
TMEM127,3.56186454604076,3.31814058239928,3.42386066178606,3.32999957554919,3.34129897189053,3.30797585001535,3.15012218322815,3.35975620213749,3.21453258042098,3.53730871957647,2.96137932384533,2.92060068338217,3.06616261484674,2.88808622014601,3.22070365709527,3.28731545092271,3.27355241828273,3.71238037238608,3.45071380112509,3.24254813645654,2.25362146444345,3.26679079076234,3.1719919209123,3.28154625937381,3.35781787650772,3.32783670198464
FRY,3.02430173090083,3.3611693142086,3.34447087190845,3.39421257793489,3.46455318166808,2.87564109357914,3.23753066889932,3.54543528247623,3.37008302326457,3.73666241626113,3.8377717753273,3.57870956226736,3.93380803100144,3.48207755275035,3.42586731266956,3.30840966191496,3.81934055914942,2.95713442923063,3.42443633820883,3.2925641781735,3.88302007941117,3.60955802086585,3.212234495019,3.22847915084941,3.61166798237465,3.55394173734822
ZMYND11,3.88605022877328,3.82017307501555,4.03343360742595,4.0128596556467,4.24423153604857,4.02700664481289,4.0590690177651,4.05931208292378,4.06791101857891,4.41434595752671,4.41512731147758,4.35500404490597,4.37721302441581,4.22926808023423,4.24588770172394,3.98806244490157,4.35628260811747,3.9316595622798,4.00542406966795,3.98287159192031,4.30316319240053,4.30180937566056,3.85152917837688,3.92962677529201,4.22929764042685,4.20462808129531
AKT3,3.4416637207988,3.61761180411597,3.5531696157638,3.71033158114799,3.81613858217338,3.53641967341649,3.46055372719899,3.32697679153855,3.5214533559875,3.53029769165369,4.11019425499811,3.85488724288984,3.85457728483498,3.70695278383229,3.4594855193551,3.52147610009145,3.56396589552405,3.53958477884383,3.4835821624225,3.55068149554043,3.87017733410675,3.96360137113978,3.50132605900554,3.70065050848598,3.47652064462844,3.5407741798499
ARL4C,3.546282255491,3.52806822681667,3.84367525882227,3.55255652602751,2.50273020091812,3.71148978292798,3.51279415641194,3.31566476320783,3.45045173180245,3.08624839492616,3.37803923279432,3.37204881353578,3.12992469568532,3.07023815029838,3.12724089918773,3.97590550552696,3.13824457777947,3.67656311881739,3.36043776664335,3.49938957147833,2.70905275942997,3.43575552393581,3.58667044272968,3.64543661458601,2.87071517465451,3.74569384468711
ARIH1,3.68553546690484,3.53990160292235,3.34323523533362,3.63090513320632,3.49467154209401,3.63138338976551,3.5863406093588,3.58193635299684,3.67588470330976,3.65962330892143,3.70161702389071,3.45874493661754,3.65650469542436,3.61314575919137,3.40733225800772,3.50731631015996,3.50283827592039,3.51844747457598,3.62797763730993,3.54904975603657,3.79028227811218,3.65652624562702,3.66990802991845,3.58209974207758,3.57100197529271,3.50642357763953
GARNL1,3.25043781289715,3.34977022555799,3.50987576173769,3.4344568032712,3.43415932454338,3.22967672390823,3.50676999296175,3.17904453091064,3.33790909709975,3.38026082083487,3.55519036988549,3.60258169981119,3.5870775780775,3.51350632322608,3.57498439499833,3.13739620930559,3.60490106142488,2.96965675784147,3.47769313339194,3.40681225306876,3.59165395659867,3.56356734242582,3.20030208765995,3.23990831600735,3.13409578932325,3.33695698643608
AI982758,3.54688650829606,3.38804646706572,3.50952630730211,3.73368667433426,3.57862351091282,3.29745344279087,3.70978088938629,3.37194738762898,3.40988986071453,3.63754006072595,3.57347234761807,3.77221598129611,3.92784613221511,3.53353744042525,3.46069748009345,3.28505341521674,3.47014871806493,3.34724529523156,3.53278035946884,3.43939159595999,3.74906913814877,3.41499489512404,3.42779630137564,3.3477482980325,3.35160732450272,3.64655927970353
DENND4A,2.83353021892731,2.64449865779291,2.71485093564187,2.69267510553095,2.67207752878205,2.76976196424216,2.552540463653,2.65475970329186,3.37269940427843,2.5148703654019,3.19323900317684,2.75600740954662,3.41883819152903,2.81368704754097,2.5803580852283,2.6593180394707,2.78420776457764,2.76245723467568,2.55960263217109,2.71773622458872,2.77440308535505,2.74378640214863,2.82117080495378,2.56371833996568,2.74015970809972,2.65615859638365
GLUD2,3.31424506081634,3.69738097052505,3.46901347606639,3.75378162470783,3.84550695284849,3.47990353404673,3.68374243360773,3.5753761908625,3.57877509194214,3.2203429621339,3.59128225650792,3.58385142593961,3.98732088138431,3.9468434451043,3.63000761643387,3.72971427818771,3.99753194040646,2.91533597920292,3.56559070633532,3.76552334353063,4.05567130484835,3.73079268892225,3.34445436746144,3.62091791400829,3.3429389868252,3.73420524712355
ZFP91,4.30654103838287,4.37741714231263,4.30039063465427,4.38434830581496,4.18637337419503,4.3240191230416,4.29557215753965,4.2938225526574,4.25462586613176,4.28244473408243,4.58590633513132,4.49511086745459,4.36081606965652,4.24879316129613,4.21091074184783,4.32240839914438,4.2048033770668,4.25202776720438,4.36822593060264,4.27341771708947,4.38580473478104,4.42279398905174,4.40041004794303,4.27095737058555,4.29562684158021,4.29479920455201
P15RS,3.72581259859716,3.80930303472484,3.91376205173319,4.05037418735617,4.0367549342379,3.60967688533296,3.93805916893609,4.07577062019242,3.75337375052205,3.7613494962142,4.0885897160307,4.09996708431999,4.10698794771066,3.98914668470465,3.89089457189397,4.08340736559509,4.0157833212733,3.61824259615019,3.91569666874856,3.95007175278038,4.14389667811161,4.22370659926616,3.78138919262346,4.00718175994894,3.77830518049498,3.78246216083985
MIB1,3.76428032066769,3.85644702094065,3.82431624364754,4.03531636652427,4.00286201710508,3.74962734189484,3.89258207511762,3.88456207327413,3.86821310325025,3.76889468090079,3.87070727865972,4.01752998832149,4.15938486557175,3.71624372590692,3.94216124509404,3.76097924477937,3.85099377669055,3.3832572441801,3.76120998333567,3.89947467949622,4.06761515062112,3.91629415142755,3.79223622628018,3.81232371916121,3.75817076559834,3.8652857714784
PPM1A,3.46591111995727,3.28507278923302,3.58724421244003,3.39157636533171,3.60815843924772,3.31357513291737,3.36141937741968,3.22468349873895,3.40042486814564,3.71079672022778,3.77835611666912,3.71619831478931,3.79093007331196,3.81739651054095,3.30766373305683,3.67997813880428,3.59607860145739,3.47826252738961,3.63227847587687,3.45454196734381,3.93040707243639,4.01401269702707,3.39546024349634,3.41333212536009,3.61035700917327,3.34898070674209
GUSB,3.86791710633629,4.02000956064479,3.85027855251804,3.7870808500441,3.77306663080569,4.06609231276236,3.97949952520857,3.82529827745395,3.86158960516468,3.46424595230039,3.84744630054887,3.65366404174239,3.52396498937781,3.65970774571814,3.84116418177233,4.00600518894092,3.71404267839284,4.10833056320025,3.80217384801619,3.91325181899281,3.37042277952463,3.15362251310988,3.96702819668212,3.70811091914771,3.75269571737805,3.5199692805063
ACBD5,4.03031829054337,3.98098131951372,4.07028746799306,4.10413970752836,4.28658197933186,3.94540077672038,4.17701315566113,4.10508395834424,3.96669624260774,4.25888311383086,4.08896403921468,4.23538629320103,4.33478608041373,4.18459473985837,4.19788142642505,4.00810006206777,4.24623056007974,3.82462040049319,3.977425988758,3.98228869494581,4.35769456616967,4.08692888184321,3.98358357714552,3.83938300756098,4.18257461568886,4.23683222459836
VPS24,4.43749204897839,4.44990053184944,4.47928681231976,4.43859441353908,4.54634439734349,4.48156570416398,4.47673003981676,4.471804066942,4.33795190101837,4.50785065203824,4.50699594055547,4.50537869627307,4.58170406870967,4.49727118178932,4.3642029888939,4.51003254878366,4.60483676872621,4.32247861518726,4.42997639238586,4.43753247322043,4.4592671274552,4.72295240350341,4.39096206430225,4.55855990120472,4.38299699117362,4.54380370192979
SERPINE1,3.74889039538271,4.00160829433232,3.51503144928426,2.88759029673052,3.17338675541987,4.23526728671706,3.50629459890187,3.38223737760719,3.3762397917958,2.59484981062796,3.66665676413551,2.47349426907015,3.24784541284059,3.36884209200804,3.36796071610148,3.93821476141393,3.03845483633728,4.0442544355537,3.39602297726353,3.33539230021755,2.18924319806571,3.60958011035087,4.4917978706341,3.37554364068376,3.16970469845193,3.14761944494026
AF116616,3.00004429577811,3.35508929740095,2.97018735763651,2.72548692633238,3.43008892952254,2.70305997942258,3.25737302161896,2.49816162729266,2.44349142104489,2.16399873169818,3.32921659732351,3.53320486907082,3.53374677251056,3.87017112661793,2.26412097689839,3.41590507871116,2.02677832865953,1.77312792403333,3.03339721445763,3.2548606952614,3.66237661821847,3.45073518441967,2.79081556617012,2.97872179174945,2.52672170172362,2.37905157618437
SLC18A2,3.15768337626976,3.14175226310494,3.27317032447529,3.22509647700271,3.72110354913009,2.95354273185122,3.26911162018009,3.33607750663408,2.74477396192032,3.39256119303853,3.77628957122632,3.56286527983585,3.51617298015794,3.33589859123637,3.32758450455295,3.27892865491703,3.4337549572845,3.00060671968738,3.0014243192075,3.08559522688888,3.51687263089232,3.65309012199688,3.09755888514139,3.23508458329981,3.3292404063518,3.28838852633015
ZRANB1,3.7170419853862,3.81173220810322,3.6763810794635,3.80759455345102,3.96008902049315,3.83492058578044,3.7574653433421,3.74709408957919,3.87081190356064,3.71339922244861,4.10891847134138,4.07819859347021,3.9284462950895,3.97993706271516,3.75661473525945,3.84389387278203,3.89190274692304,3.7761967318838,3.67845700898498,3.63204811354194,3.93423319812526,4.19912614646985,3.80632577745022,3.79873024729719,3.83046702353556,3.84411113308932
ANGPT2,3.83742504207751,3.3487095615276,3.49105645969863,2.91892475412478,3.09303520129852,2.99993745709141,3.24867419642608,3.48870635779887,2.67776294225851,2.53895307310558,3.18388766848962,3.34503400492324,2.96133517594943,3.03144845790191,2.86649468735144,3.22811021880239,2.84004270291915,3.09941059032575,3.57016159737755,3.40832478017041,2.91057158207779,3.14019021930396,3.26639070499338,3.19979465677551,3.38606409670937,3.16527490080546
WHSC1L1,4.21590125844795,4.09143684364671,4.07694205162904,4.23313483389224,4.1790478091676,4.18924583845308,4.16861476255282,4.17598640771168,4.25546499965714,4.31699679393351,4.32364734487405,4.40938766531841,4.39813475476257,4.23862207749722,4.19939347103038,4.17637886941784,4.16480048376765,4.21453093739572,4.10737571636233,4.22299243350748,4.31297714364983,4.372638605847,4.28659535889403,4.24648661537484,4.17253372460615,4.17230165168095
AI690169,3.64087560140984,3.55672669575335,3.80562045957369,3.707112051919,3.84162253317285,3.73088026340332,3.61081331004495,3.74357169039281,3.61121725665951,3.70767311723581,4.02982722158722,3.93399356829623,3.82307548643492,3.90204294473409,3.81396607902113,3.58619862850712,3.7582272256912,3.60605778120256,3.75841996833762,3.6337264306658,4.18555178684957,3.87606049584627,3.76846064793439,3.75627399454906,3.80698064450336,3.73854829148921
SAMD9L,3.84859833139152,4.04187913828873,3.96268875850847,3.41671537924294,3.35692851884112,3.89369819399898,3.83794519587867,3.92696637373277,3.66948591562504,3.52265650336907,2.9208097205332,3.48644989060462,3.13427084384618,3.75021007172672,4.00605097507064,3.79920155297875,3.18877778976045,3.99911356952811,3.83231624760066,4.10531564540189,3.40103123349408,3.14950669900864,3.75064244233417,3.97010883250762,3.53479382356052,3.61807132822927
BC001425,3.988508122722,3.91341093685175,4.20481359392054,3.9842154995073,3.76044118181087,3.66376884335877,4.09977128803248,3.99201316335467,4.04416425478423,4.0252475593654,3.59899885249475,3.12668812958739,3.39252108993193,3.98566933262518,4.10790309988563,3.89662910223049,3.79235372209527,4.12319869638661,4.14101523023806,4.15864601795041,3.19477456309171,3.81125707711531,4.05339447947543,4.0394582206322,4.02110044573862,3.93149814531209
TBC1D9B,3.79603626575991,3.84641122044885,3.79605627039027,3.78465066570485,3.82065575269284,3.94104319570597,3.87836878889465,3.84765587038244,3.90108789608828,3.8524539473862,3.70311444232854,3.8001795812562,3.74436927139843,3.86640721145139,3.89712874116844,3.89083086194776,3.82321827214568,3.9794161087087,3.88318373244761,3.86266354112517,3.5760391973411,3.72003420858065,3.79710577584067,3.80777889508609,3.92031652347708,3.86890934186637
LARP1,3.33272257734873,3.56722004890382,3.53012961612356,3.49641482857445,3.51404277447199,3.58857857455332,3.90330094857701,3.50474453808884,3.62615470016975,3.57614650757432,3.68961089514074,3.67724038490305,3.64252456546472,3.65788796312554,3.5414364524039,3.94599704901275,3.52482267667315,3.49051329097306,3.40380986688689,3.48596830806063,3.77077515680172,3.73265819680972,3.50132441599511,3.62181011754034,3.57575275321583,3.39491392334385
PPP2R5A,3.51828633625979,3.55243141849684,3.52286293667348,3.37224772393245,3.14651748520075,3.25764978091035,3.47245160507979,3.53508869955916,3.32100343104988,3.74212738852593,3.4464363481052,3.15383223577638,3.51953175903718,3.57156932286508,3.58195682263796,3.47970844269906,3.62947035530138,3.48471570852325,3.52863277420042,3.49476760213899,4.04357469628804,3.45792290309229,3.62351051233479,3.2254537640085,3.58457465509431,3.61702100633284
RSC1A1,3.43231190314844,3.52919864317379,3.26620958145656,3.58453407394009,3.34836445273177,3.57916932143597,3.45307650527097,3.55910393441393,3.41994055617372,3.28306275366617,3.34364173061199,3.55269558675064,3.32063723920101,3.51426330953632,3.45077502530406,3.54210706509718,3.52923151389235,3.33677003344887,3.32536745252993,3.38983296748216,3.39331068564595,3.53052676914397,3.21538293884602,3.53075316692778,3.29688644860339,3.48574498560858
IDI1,3.35685901770144,3.49252963497416,3.60342024068033,3.7562433162906,4.1496630057357,3.61603931996682,3.63239209250147,3.66461555987196,3.59508388729531,3.90976178900913,3.84787230530418,4.10020789550804,4.1246713243287,3.80448563904177,3.731362937812,3.67019230534658,3.8153753624458,3.37993175568393,3.65769400711348,3.64158544616412,3.46640239454295,3.93518691850268,3.4114210297165,3.6281084385364,3.65392282439597,3.83271374920124
SP3,3.80673239793761,3.7803030514902,3.86939977091508,3.72250953857635,3.67622935220197,3.93480739740242,3.65657144968904,3.71350389933394,3.83025913421671,3.87169561808186,3.57834667887852,3.54667515243569,3.40590104200822,3.36882871738954,3.77193404330657,3.69035992880981,3.72334671531055,4.02206308854555,3.83941424979428,3.7563029199542,3.4500980029973,3.66190048173402,3.76318262275639,3.70779654631251,3.54074879825782,3.76147211615668
SPAG9,3.16162790211428,2.88920138290475,3.0856729601183,3.44916170389581,3.38268922804807,3.08526738193162,3.39151677793123,3.19671353723606,3.46299721022941,3.46979757702479,3.69760905357769,3.61415163487575,3.58116246183369,3.39138100095106,3.18344665809337,3.35612265389761,3.23944213457364,2.92553691737411,3.23223072248867,3.38174773255356,3.43961323639721,3.29912229917221,3.28262437836241,3.32714980957178,3.08575067943695,3.2586640961091
RABGGTB,3.43817213099945,3.32360145835964,3.40630304200957,3.55752320193394,3.43738093825986,3.4033619767046,3.1267306254089,3.41379430981575,3.4592333680998,3.25409034044893,3.56108575353892,3.46399043313792,3.44058418382339,3.36809005933877,3.38559465651235,3.40003087263526,3.53302455091857,3.09341818277326,3.22705509586542,3.39745158713002,3.74586080899789,3.48579536379039,3.522896290423,3.24638088187649,3.14048510213042,3.31132634730534
FDFT1,3.84831729194989,3.66617312242619,3.93258455651932,3.93627069073857,4.18015487497,3.53755869209584,4.04287634319569,4.04135264925794,3.84783969281228,3.9817215480385,4.05684316952079,4.03584494131703,4.23140133150911,4.17413345410108,4.12480978629197,3.80419233531683,3.93189179575824,3.62229641708622,3.90687563353791,3.81966631038022,4.10008647189505,4.07403103972682,3.8263254543937,3.77935727485498,4.05926548134389,4.03292020483712
